fecha_inicio,mes_num,mes_nombre,propiedad,noches,ingreso_bruto,ingreso_neto,tarifa_servicio,tarifa_limpeza,ocupacion_pct
2026-02-07,2,February,Casa de las Flores,2.0,2750.0,2255.55,494.45,750.0,6.7
2026-02-07,2,February,Casa del Parque,11.0,5850.0,4798.17,1051.83,850.0,36.7
2026-02-07,2,February,Casa de Ineva,1.0,1890.0,1550.1,339.9,700.0,3.3
2026-02-06,2,February,Casa 3min USA,2.0,3770.0,3092.08,677.92,750.0,6.7
2026-02-05,2,February,Casa de las Flores,1.0,1707.1,1400.16,306.94,750.0,3.3
2026-02-05,2,February,Casa 2 rec,5.0,5840.0,4789.97,1050.03,850.0,16.7
2026-02-05,2,February,Casa Super Comoda,11.0,12829.5,10522.7,2306.8,850.0,36.7
2026-02-05,2,February,Casa de Rigo,5.0,5840.0,4789.97,1050.03,850.0,16.7
2026-02-04,2,February,Casa de Ineva,3.0,1340.0,1099.07,240.93,150.0,10.0
2026-02-04,2,February,Casa 5min USA,5.0,5731.55,4701.02,1030.53,850.0,16.7
2026-02-04,2,February,Casa de Ineva,3.0,2496.05,2047.26,448.79,700.0,10.0
2026-02-04,2,February,Casa Zoe,7.0,8298.0,6806.02,1491.98,850.0,23.3
2026-02-04,2,February,Emily House,2.0,2066.7,1695.11,371.59,500.0,6.7
2026-02-03,2,February,Casa del Parque,3.0,3850.0,3157.77,692.23,850.0,10.0
2026-02-02,2,February,Casa 3min USA,4.0,6500.0,5331.29,1168.71,900.0,13.3
2026-02-02,2,February,Casa Alegre,8.0,8450.0,6930.69,1519.31,850.0,26.7
2026-02-01,2,February,Casa 5min CAS,9.0,8469.0,6946.27,1522.73,850.0,30.0
2026-02-01,2,February,Casa Zoe,2.0,2780.0,2280.16,499.84,750.0,6.7
2026-02-01,2,February,Casa de Rigo,2.0,2620.0,2148.92,471.08,650.0,6.7
2026-02-01,2,February,Casa Super Comoda,2.0,3050.0,2501.61,548.39,850.0,6.7
2026-01-31,1,January,Casa 5min USA,3.0,3740.0,3067.55,672.45,850.0,10.0
2026-01-31,1,January,Casa de Rigo,1.0,1640.0,1345.13,294.87,650.0,3.3
2026-01-31,1,January,Casa Super Comoda,1.0,1970.0,1615.75,354.25,850.0,3.3
2026-01-31,1,January,Casa Alegre,1.0,1650.0,1353.39,296.61,650.0,3.3
2026-01-31,1,January,Casa Zoe,1.0,1950.0,1599.46,350.54,750.0,3.3
2026-01-31,1,January,Emily House,1.0,1490.0,1222.1,267.9,500.0,3.3
2026-01-30,1,January,Casa 2 rec,3.0,1120.0,918.62,201.38,200.0,10.0
2026-01-30,1,January,Casa 3min USA,2.0,3550.0,2911.69,638.31,750.0,6.7
2026-01-30,1,January,Casa 5min CAS,2.0,2430.0,1993.09,436.91,650.0,6.7
2026-01-30,1,January,Casa Zoe,1.0,1733.45,1421.85,311.6,750.0,3.3
2026-01-30,1,January,Casa 2 rec,3.0,2540.0,2083.31,456.69,650.0,10.0
2026-01-30,1,January,Emily House,1.0,1390.0,1140.08,249.92,500.0,3.3
2026-01-29,1,January,Casa 3min USA,1.0,2240.0,1837.25,402.75,750.0,3.3
2026-01-29,1,January,Casa Alegre,2.0,2304.95,1890.51,414.44,650.0,6.7
2026-01-29,1,January,Casa del Parque,3.0,4380.0,3592.48,787.52,850.0,10.0
2026-01-29,1,January,Casa Zoe,1.0,1719.85,1410.62,309.23,750.0,3.3
2026-01-29,1,January,Casa de Rigo,2.0,2471.1,2026.8,444.3,650.0,6.7
2026-01-29,1,January,Casa de Ineva,2.0,2950.0,2419.63,530.37,700.0,6.7
2026-01-28,1,January,Casa Super Comoda,3.0,4150.0,3403.83,746.17,850.0,10.0
2026-01-27,1,January,Casa de Rigo,2.0,2290.5,1878.7,411.8,650.0,6.7
2026-01-27,1,January,Casa de las Flores,2.0,2790.0,2288.36,501.64,750.0,6.7
2026-01-26,1,January,Casa 5min USA,4.0,4690.0,3846.74,843.26,850.0,13.3
2026-01-26,1,January,Casa Zoe,3.0,3850.0,3157.77,692.23,850.0,10.0
2026-01-26,1,January,Casa del Parque,1.0,1750.0,1435.35,314.65,750.0,3.3
2026-01-25,1,January,Casa 2 rec,5.0,5460.0,4478.29,981.71,850.0,16.7
2026-01-25,1,January,Casa Zoe,1.0,1651.6,1354.62,296.98,750.0,3.3
